address_id,customer_id,address_type,is_default,address_line1,address_line2,city,state,zip_code,country,phone,created_at
9001,9750,Shipping,Yes,537 John Mountains Apt. 437,,Oliverfort,IL,68344,USA,001-554-899-2995,2022-06-10 07:55:00
9002,6189,Both,Yes,351 Phillip Circle Suite 541,,Port Dustin,OR,57454,USA,+1-779-352-4254x2900,2023-08-19 20:20:00
9003,4986,Both,Yes,80796 York Terrace Suite 717,Suite 750,Thomastown,NJ,11703,USA,+1-365-697-3283,2022-05-13 03:45:00
9004,9504,Both,Yes,125 Fleming Shores,,South Charles,MO,30346,USA,922.361.0482x67975,2024-06-16 05:14:00
9005,10729,Both,Yes,60087 Robinson Falls,,New Robin,HI,52354,USA,001-749-886-8467x520,2022-04-16 02:39:00
9006,7843,Billing,Yes,073 Murray Unions Suite 312,,North Marystad,VT,29541,USA,970-422-9735x260,2024-10-09 15:36:00
9007,7096,Billing,Yes,880 Banks Village Suite 502,Apt. 388,East Alexander,NE,03081,USA,913-678-0696x61167,2023-02-07 16:58:00
9008,3630,Both,Yes,95267 Michael Causeway Apt. 304,,Christinemouth,NE,73490,USA,001-603-884-9794,2023-12-25 09:49:00
9009,8242,Both,Yes,28449 Mary Brook Apt. 130,,Lake Ashleyborough,WA,38259,USA,001-885-615-9283x895,2024-10-07 21:29:00
9010,8192,Both,Yes,945 Turner Coves,Apt. 123,East Meghan,UT,89786,USA,371-835-4176,2024-09-07 17:40:00
9011,1085,Both,Yes,8597 Vickie Crescent Apt. 103,Suite 755,Sparksfort,WV,68746,USA,203-942-1392,2022-10-04 00:02:00
9012,5750,Both,Yes,86241 Richard Forks,,South Matthewville,OK,53597,USA,257.861.6543x3313,2022-09-10 00:50:00
9013,6650,Shipping,Yes,35502 Ortiz Lodge,Suite 499,Port Candicemouth,MT,68490,USA,001-216-865-4136x728,2023-06-08 05:32:00
9014,1351,Billing,Yes,7130 Harrington Burgs Suite 906,,Davisfurt,IA,18749,USA,529-447-4549,2022-04-29 12:11:00
9015,8545,Billing,Yes,37286 Brenda Freeway Apt. 495,Apt. 779,New Jasonborough,VA,53550,USA,6158004489,2024-09-27 10:37:00
