customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,created_at
1001,Stacy,Nielsen,noahthornton@example.com,728-860-4765x801,4414 Murray Spring Apt. 938,Ericaburgh,MD,72277,USA,2023-06-26 20:37:00
1002,Alex,Smith,smithconnor@example.org,+1-375-334-4300x9109,269 Paula Square,West Kenneth,TN,10425,USA,2023-02-10 13:07:00
1003,Danielle,Livingston,kayla54@example.org,001-514-806-6504x427,712 Robinson Row,South Jenniferville,AZ,10058,USA,2023-04-06 20:09:00
1004,Chad,Luna,fsmith@example.org,+1-800-864-2569x0877,306 Martinez Plain,Mathewport,MO,07735,USA,2023-06-29 04:04:00
1005,Cynthia,Benjamin,diazmelissa@example.com,674-832-8063,571 Moss Dam,East Anthonyshire,IA,64625,USA,2022-05-03 05:50:00
1006,Paul,Sparks,victor70@example.org,205-406-1387x82931,079 John Run Apt. 020,Loriville,NH,80615,USA,2023-09-22 19:47:00
1007,George,Garza,wilsonbrooke@example.net,413.765.6519,92511 Thomas Mall,Lake Mitchell,GA,57997,USA,2023-08-15 14:07:00
1008,John,Perkins,craigboone@example.net,(420)571-0021x9467,487 Allen Extensions,New Hectorfort,RI,12038,USA,2024-08-17 22:19:00
1009,Courtney,Patton,robert83@example.org,581-695-8837,12772 Elizabeth Cape,Lake Michaelborough,NE,33450,USA,2024-04-04 08:32:00
1010,Matthew,Trujillo,vwilliams@example.org,+1-922-707-8113,53153 Joel Loop Apt. 631,Richardston,FM,57630,USA,2024-10-08 14:05:00
1011,Dustin,Reilly,xthompson@example.org,335.943.5209x042,2534 Kristine Route Apt. 983,South Melodyfort,VI,28870,USA,2022-03-23 13:47:00
1012,Brittany,Hood,alexis63@example.org,869-839-2906x00780,177 Christopher Terrace Apt. 632,Kennethland,AK,63387,USA,2023-10-23 19:16:00
1013,Elizabeth,Martin,vhodge@example.net,3778262570,046 Wolfe Ridge Apt. 195,New Sierrastad,FM,07259,USA,2022-02-22 02:14:00
1014,Daniel,Diaz,diazgregory@example.net,001-518-732-5381x793,8640 Nathan Mission Suite 881,Mckinneyside,MH,38808,USA,2022-02-12 21:52:00
1015,Shannon,Richardson,lopeznicole@example.org,462-941-1241,80468 Thomas Manor,Rojastown,LA,25281,USA,2023-07-06 18:02:00
1016,Bryan,Wiggins,marystone@example.com,(495)657-9887x74924,5402 Mitchell Expressway,Lake Amanda,HI,23485,USA,2022-12-25 15:33:00
1017,Mary,Schwartz,evanwilson@example.com,001-727-745-2380,7828 Martinez Burg,Velazquezberg,NH,42472,USA,2024-06-24 08:11:00
1018,Eric,Cordova,deborah47@example.com,001-892-597-5170x281,1509 Brandy Forges Suite 301,Rhodesland,NY,52198,USA,2024-06-11 20:52:00
1019,James,Stewart,kerrmichael@example.org,001-365-565-0455x478,674 Linda Manors Suite 299,East Jaredfort,VI,69353,USA,2024-10-04 02:30:00
1020,Valerie,Jones,adavis@example.net,962-287-9232x648,478 Walker Turnpike Apt. 244,Martinezport,MT,24011,USA,2023-12-14 13:21:00
1021,Travis,Watts,anthonyhubbard@example.com,395-797-9647,2902 Murray Square,West Frank,KY,47839,USA,2023-10-20 21:06:00
1022,Robert,Barr,brandon48@example.net,783-621-9285,518 Morrow Bridge Apt. 845,Jenkinsburgh,CT,29058,USA,2022-11-26 10:26:00
1023,Eric,Walker,laurahansen@example.net,488.916.7112x07545,40132 Hailey Inlet Apt. 321,Vazquezville,CA,02965,USA,2024-10-11 09:42:00
1024,Kim,Todd,gonzalezantonio@example.net,590.471.4014x01193,12495 Martin Parkway Apt. 891,Port Belindatown,NC,28943,USA,2024-03-31 17:02:00
1025,Jennifer,Brandt,rachelmedina@example.net,438-775-9271,3836 Kathleen Island Apt. 718,South Kathryn,VT,38285,USA,2024-07-20 02:20:00
1026,Angela,Williams,tristan64@example.com,+1-447-238-6463x175,167 David Locks Suite 912,West Theresamouth,ID,78483,USA,2023-06-01 10:07:00
